timestamp, power.draw [W]
2018/09/16 13:10:37.132, 40.65 W
2018/09/16 13:10:37.333, 41.03 W
2018/09/16 13:10:37.536, 40.46 W
2018/09/16 13:10:37.736, 40.65 W
2018/09/16 13:10:37.937, 40.36 W
2018/09/16 13:10:38.138, 40.26 W
2018/09/16 13:10:38.338, 40.36 W
2018/09/16 13:10:38.542, 40.46 W
2018/09/16 13:10:38.742, 40.46 W
2018/09/16 13:10:38.943, 40.36 W
2018/09/16 13:10:39.144, 40.55 W
2018/09/16 13:10:39.344, 40.36 W
2018/09/16 13:10:39.548, 40.55 W
2018/09/16 13:10:39.748, 40.46 W
2018/09/16 13:10:39.949, 40.55 W
2018/09/16 13:10:40.149, 40.46 W
2018/09/16 13:10:40.350, 40.17 W
2018/09/16 13:10:40.554, 40.46 W
2018/09/16 13:10:40.755, 40.36 W
2018/09/16 13:10:40.955, 40.36 W
2018/09/16 13:10:41.156, 40.36 W
2018/09/16 13:10:41.357, 40.36 W
2018/09/16 13:10:41.561, 40.46 W
2018/09/16 13:10:41.761, 40.55 W
2018/09/16 13:10:41.962, 40.46 W
2018/09/16 13:10:42.162, 40.36 W
2018/09/16 13:10:42.363, 40.36 W
2018/09/16 13:10:42.566, 40.55 W
2018/09/16 13:10:42.767, 40.36 W
2018/09/16 13:10:42.967, 40.84 W
2018/09/16 13:10:43.168, 40.55 W
2018/09/16 13:10:43.369, 40.55 W
2018/09/16 13:10:43.572, 40.65 W
2018/09/16 13:10:43.772, 40.46 W
2018/09/16 13:10:43.973, 40.84 W
2018/09/16 13:10:44.174, 40.46 W
2018/09/16 13:10:44.374, 40.65 W
2018/09/16 13:10:44.577, 40.55 W
2018/09/16 13:10:44.777, 40.55 W
2018/09/16 13:10:44.978, 40.55 W
2018/09/16 13:10:45.178, 40.55 W
2018/09/16 13:10:45.379, 40.36 W
2018/09/16 13:10:45.583, 40.55 W
2018/09/16 13:10:45.784, 40.55 W
2018/09/16 13:10:45.984, 40.65 W
2018/09/16 13:10:46.185, 40.46 W
2018/09/16 13:10:46.385, 40.17 W
2018/09/16 13:10:46.590, 40.26 W
2018/09/16 13:10:46.790, 40.36 W
2018/09/16 13:10:46.991, 40.55 W
2018/09/16 13:10:47.191, 40.46 W
2018/09/16 13:10:47.392, 40.36 W
2018/09/16 13:10:47.595, 40.36 W
2018/09/16 13:10:47.796, 40.46 W
2018/09/16 13:10:47.996, 40.36 W
2018/09/16 13:10:48.197, 40.46 W
2018/09/16 13:10:48.397, 40.55 W
2018/09/16 13:10:48.601, 40.26 W
2018/09/16 13:10:48.802, 40.26 W
2018/09/16 13:10:49.003, 40.36 W
2018/09/16 13:10:49.203, 40.65 W
2018/09/16 13:10:49.404, 40.55 W
2018/09/16 13:10:49.606, 40.46 W
2018/09/16 13:10:49.807, 40.26 W
2018/09/16 13:10:50.008, 40.65 W
2018/09/16 13:10:50.208, 40.26 W
2018/09/16 13:10:50.409, 40.46 W
2018/09/16 13:10:50.613, 40.46 W
2018/09/16 13:10:50.813, 40.55 W
2018/09/16 13:10:51.014, 40.55 W
2018/09/16 13:10:51.214, 40.74 W
2018/09/16 13:10:51.415, 40.65 W
2018/09/16 13:10:51.618, 40.65 W
2018/09/16 13:10:51.819, 40.74 W
2018/09/16 13:10:52.019, 40.74 W
2018/09/16 13:10:52.220, 40.65 W
2018/09/16 13:10:52.421, 40.26 W
2018/09/16 13:10:52.625, 40.46 W
2018/09/16 13:10:52.825, 40.17 W
2018/09/16 13:10:53.026, 40.36 W
2018/09/16 13:10:53.226, 40.26 W
2018/09/16 13:10:53.427, 40.26 W
2018/09/16 13:10:53.630, 40.46 W
2018/09/16 13:10:53.830, 40.36 W
2018/09/16 13:10:54.031, 40.45 W
2018/09/16 13:10:54.231, 40.36 W
2018/09/16 13:10:54.432, 40.36 W
2018/09/16 13:10:54.636, 40.36 W
2018/09/16 13:10:54.836, 40.55 W
2018/09/16 13:10:55.037, 40.65 W
2018/09/16 13:10:55.237, 40.74 W
2018/09/16 13:10:55.438, 40.55 W
2018/09/16 13:10:55.642, 40.55 W
2018/09/16 13:10:55.842, 41.22 W
2018/09/16 13:10:56.043, 41.61 W
2018/09/16 13:10:56.244, 41.32 W
2018/09/16 13:10:56.444, 40.94 W
2018/09/16 13:10:56.648, 40.74 W
2018/09/16 13:10:56.849, 40.94 W
2018/09/16 13:10:57.049, 40.65 W
2018/09/16 13:10:57.250, 40.84 W
2018/09/16 13:10:57.451, 40.36 W
2018/09/16 13:10:57.654, 40.46 W
2018/09/16 13:10:57.855, 40.55 W
2018/09/16 13:10:58.056, 40.55 W
2018/09/16 13:10:58.256, 40.36 W
2018/09/16 13:10:58.457, 40.74 W
2018/09/16 13:10:58.661, 40.94 W
2018/09/16 13:10:58.861, 40.94 W
2018/09/16 13:10:59.062, 40.74 W
2018/09/16 13:10:59.262, 40.46 W
2018/09/16 13:10:59.463, 40.55 W
2018/09/16 13:10:59.667, 40.46 W
2018/09/16 13:10:59.867, 40.36 W
2018/09/16 13:11:00.068, 40.46 W
2018/09/16 13:11:00.268, 40.55 W
2018/09/16 13:11:00.469, 40.46 W
2018/09/16 13:11:00.673, 40.74 W
2018/09/16 13:11:00.874, 40.26 W
2018/09/16 13:11:01.074, 41.13 W
2018/09/16 13:11:01.275, 40.26 W
2018/09/16 13:11:01.475, 40.55 W
2018/09/16 13:11:01.679, 40.36 W
2018/09/16 13:11:01.879, 40.46 W
2018/09/16 13:11:02.080, 40.46 W
2018/09/16 13:11:02.280, 40.46 W
2018/09/16 13:11:02.481, 40.46 W
2018/09/16 13:11:02.684, 40.36 W
2018/09/16 13:11:02.885, 40.65 W
2018/09/16 13:11:03.086, 40.17 W
2018/09/16 13:11:03.286, 40.46 W
2018/09/16 13:11:03.487, 40.36 W
2018/09/16 13:11:03.691, 40.36 W
2018/09/16 13:11:03.892, 40.26 W
2018/09/16 13:11:04.092, 40.84 W
2018/09/16 13:11:04.293, 40.36 W
2018/09/16 13:11:04.494, 40.36 W
2018/09/16 13:11:04.697, 40.65 W
2018/09/16 13:11:04.898, 40.55 W
2018/09/16 13:11:05.098, 40.65 W
2018/09/16 13:11:05.299, 40.55 W
2018/09/16 13:11:05.500, 40.46 W
2018/09/16 13:11:05.703, 40.46 W
2018/09/16 13:11:05.904, 40.65 W
2018/09/16 13:11:06.105, 40.55 W
2018/09/16 13:11:06.305, 40.55 W
2018/09/16 13:11:06.506, 40.26 W
2018/09/16 13:11:06.709, 40.46 W
2018/09/16 13:11:06.909, 40.74 W
2018/09/16 13:11:07.110, 40.46 W
2018/09/16 13:11:07.310, 40.84 W
2018/09/16 13:11:07.511, 40.36 W
2018/09/16 13:11:07.714, 40.74 W
2018/09/16 13:11:07.914, 40.55 W
2018/09/16 13:11:08.115, 40.55 W
2018/09/16 13:11:08.315, 40.55 W
2018/09/16 13:11:08.516, 40.36 W
2018/09/16 13:11:08.719, 40.55 W
2018/09/16 13:11:08.919, 40.74 W
2018/09/16 13:11:09.120, 40.74 W
2018/09/16 13:11:09.321, 40.36 W
2018/09/16 13:11:09.521, 40.74 W
2018/09/16 13:11:09.725, 40.74 W
2018/09/16 13:11:09.926, 40.94 W
2018/09/16 13:11:10.126, 41.22 W
2018/09/16 13:11:10.327, 41.03 W
2018/09/16 13:11:10.527, 40.74 W
2018/09/16 13:11:10.731, 40.65 W
2018/09/16 13:11:10.932, 40.65 W
2018/09/16 13:11:11.132, 40.84 W
2018/09/16 13:11:11.333, 40.84 W
2018/09/16 13:11:11.534, 40.65 W
2018/09/16 13:11:11.737, 40.74 W
2018/09/16 13:11:11.938, 40.55 W
2018/09/16 13:11:12.138, 40.55 W
2018/09/16 13:11:12.339, 40.65 W
2018/09/16 13:11:12.539, 40.65 W
2018/09/16 13:11:12.742, 40.84 W
2018/09/16 13:11:12.943, 40.84 W
2018/09/16 13:11:13.143, 40.55 W
2018/09/16 13:11:13.344, 40.65 W
2018/09/16 13:11:13.544, 40.74 W
2018/09/16 13:11:13.748, 40.45 W
2018/09/16 13:11:13.949, 40.74 W
2018/09/16 13:11:14.149, 40.94 W
2018/09/16 13:11:14.350, 40.74 W
2018/09/16 13:11:14.550, 40.84 W
2018/09/16 13:11:14.753, 40.74 W
2018/09/16 13:11:14.954, 40.74 W
2018/09/16 13:11:15.154, 40.65 W
2018/09/16 13:11:15.355, 40.74 W
2018/09/16 13:11:15.556, 40.84 W
2018/09/16 13:11:15.759, 40.94 W
2018/09/16 13:11:15.960, 40.94 W
2018/09/16 13:11:16.160, 41.03 W
2018/09/16 13:11:16.361, 41.22 W
2018/09/16 13:11:16.562, 40.84 W
2018/09/16 13:11:16.762, 40.94 W
2018/09/16 13:11:16.966, 41.03 W
2018/09/16 13:11:17.167, 40.94 W
2018/09/16 13:11:17.368, 40.84 W
2018/09/16 13:11:17.568, 40.94 W
2018/09/16 13:11:17.769, 40.94 W
2018/09/16 13:11:17.973, 41.04 W
2018/09/16 13:11:18.174, 41.22 W
2018/09/16 13:11:18.374, 41.22 W
2018/09/16 13:11:18.575, 40.84 W
2018/09/16 13:11:18.776, 41.22 W
2018/09/16 13:11:18.980, 40.74 W
2018/09/16 13:11:19.180, 40.84 W
2018/09/16 13:11:19.381, 40.65 W
2018/09/16 13:11:19.582, 41.03 W
2018/09/16 13:11:19.782, 40.65 W
2018/09/16 13:11:19.986, 40.84 W
2018/09/16 13:11:20.187, 40.84 W
2018/09/16 13:11:20.387, 40.74 W
2018/09/16 13:11:20.588, 40.84 W
2018/09/16 13:11:20.788, 40.94 W
2018/09/16 13:11:20.991, 40.74 W
2018/09/16 13:11:21.192, 40.84 W
2018/09/16 13:11:21.393, 40.74 W
2018/09/16 13:11:21.593, 40.84 W
2018/09/16 13:11:21.794, 40.94 W
2018/09/16 13:11:21.998, 40.65 W
2018/09/16 13:11:22.198, 40.74 W
2018/09/16 13:11:22.399, 40.74 W
2018/09/16 13:11:22.599, 40.84 W
2018/09/16 13:11:22.800, 40.65 W
2018/09/16 13:11:23.003, 40.74 W
2018/09/16 13:11:23.204, 40.74 W
2018/09/16 13:11:23.405, 40.55 W
2018/09/16 13:11:23.605, 40.74 W
2018/09/16 13:11:23.806, 40.65 W
2018/09/16 13:11:24.009, 40.74 W
2018/09/16 13:11:24.210, 40.84 W
2018/09/16 13:11:24.410, 40.55 W
2018/09/16 13:11:24.611, 40.74 W
2018/09/16 13:11:24.812, 40.26 W
2018/09/16 13:11:25.015, 40.65 W
2018/09/16 13:11:25.216, 40.65 W
2018/09/16 13:11:25.416, 40.74 W
2018/09/16 13:11:25.617, 40.65 W
2018/09/16 13:11:25.818, 40.55 W
2018/09/16 13:11:26.021, 40.65 W
2018/09/16 13:11:26.222, 40.74 W
2018/09/16 13:11:26.423, 40.74 W
